X,Y,Thickness(nm)
-25,-65,214.7852039
-20,-65,217.3779296
-15,-65,219.9706553
-10,-65,222.5633809
-5,-65,225.1561066
0,-65,227.7488323
5,-65,230.3415579
10,-65,232.9342836
15,-65,235.5270093
20,-65,238.1197349
25,-65,240.7124606
35,-60,247.6480018
30,-60,245.0552761
25,-60,242.4625504
20,-60,239.8698248
15,-60,237.2770991
10,-60,234.6843734
5,-60,232.0916478
0,-60,229.4989221
-5,-60,226.9061964
-10,-60,224.3134708
-15,-60,221.7207451
-20,-60,219.1280194
-25,-60,216.5352938
-30,-60,213.9425681
-35,-60,211.3498424
-40,-55,210.5072066
-35,-55,213.0999323
-30,-55,215.6926579
-25,-55,218.2853836
-20,-55,220.8781093
-15,-55,223.4708349
-10,-55,226.0635606
-5,-55,228.6562863
0,-55,231.2490119
5,-55,233.8417376
10,-55,236.4344633
15,-55,239.0271889
20,-55,241.6199146
25,-55,244.2126403
30,-55,246.8053659
35,-55,249.3980916
40,-55,251.9908173
45,-50,256.3336328
40,-50,253.7409071
35,-50,251.1481814
30,-50,248.5554558
25,-50,245.9627301
20,-50,243.3700044
15,-50,240.7772788
10,-50,238.1845531
5,-50,235.5918274
0,-50,232.9991018
-5,-50,230.4063761
-10,-50,227.8136504
-15,-50,225.2209248
-20,-50,222.6281991
-25,-50,220.0354734
-30,-50,217.4427478
-35,-50,214.8500221
-40,-50,212.2572964
-45,-50,209.6645708
-50,-45,208.8219349
-45,-45,211.4146606
-40,-45,214.0073862
-35,-45,216.6001119
-30,-45,219.1928376
-25,-45,221.7855632
-20,-45,224.3782889
-15,-45,226.9710146
-10,-45,229.5637402
-5,-45,232.1564659
0,-45,234.7491916
5,-45,237.3419172
10,-45,239.9346429
15,-45,242.5273686
20,-45,245.1200942
25,-45,247.7128199
30,-45,250.3055456
35,-45,252.8982712
40,-45,255.4909969
45,-45,258.0837226
50,-45,260.6764482
55,-40,265.0192637
50,-40,262.4265381
45,-40,259.8338124
40,-40,257.2410867
35,-40,254.6483611
30,-40,252.0556354
25,-40,249.4629097
20,-40,246.8701841
15,-40,244.2774584
10,-40,241.6847327
5,-40,239.0920071
0,-40,236.4992814
-5,-40,233.9065557
-10,-40,231.3138301
-15,-40,228.7211044
-20,-40,226.1283787
-25,-40,223.5356531
-30,-40,220.9429274
-35,-40,218.3502017
-40,-40,215.7574761
